2024-02-25T01:33:53Z, 0, 127.0.0.1, 8080, DATA, 0
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 46
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 47
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 46
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 47
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 48
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 49
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 48
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 49
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 50
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 51
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 50
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 51
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 52
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 53
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 52
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 53
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, DATA, 54
2024-02-25T01:33:57Z, 0, 127.0.0.1, 8080, ACK, 54
